frame_number,objects,tracks
1,"['person:0.9934', 'person:0.8664', 'person:0.8633', 'person:0.5897']","[(0, 441, 263), (1, 661, 239), (2, 172, 252), (3, 599, 201)]"
1,"['person:0.9934', 'person:0.8663', 'person:0.8614', 'person:0.5897']","[(0, 441, 263), (1, 661, 239), (2, 171, 252), (3, 599, 201)]"
1,"['person:0.9934', 'person:0.8677', 'person:0.8654', 'person:0.5908']","[(0, 441, 263), (1, 661, 239), (2, 171, 251), (3, 599, 200)]"
1,"['person:0.9934', 'person:0.8703', 'person:0.8665', 'person:0.5957']","[(0, 440, 263), (1, 661, 239), (2, 171, 250), (3, 599, 201)]"
1,"['person:0.9963', 'person:0.9820', 'person:0.8384', 'person:0.5560']","[(0, 406, 262), (1, 657, 240), (2, 132, 247), (3, 597, 202)]"
1,"['person:0.9909', 'person:0.9835', 'person:0.9170', 'person:0.8354']","[(0, 392, 273), (1, 654, 256), (2, 121, 248), (3, 588, 203)]"
1,"['person:0.9948', 'person:0.9877', 'person:0.9360', 'person:0.9323', 'person:0.8940', 'person:0.6530']","[(0, 346, 273), (1, 652, 259), (2, 79, 248), (3, 587, 204), (4, 407, 146), (5, 166, 278)]"
1,"['person:0.9970', 'person:0.9812', 'person:0.9299', 'person:0.9013', 'person:0.8860', 'person:0.6960']","[(0, 309, 276), (1, 651, 261), (2, 548, 197), (3, 586, 203), (4, 382, 161), (5, 496, 262)]"
1,"['person:0.9977', 'person:0.9735', 'person:0.9709', 'person:0.9550', 'person:0.9381', 'person:0.7311', 'person:0.5274']","[(0, 252, 280), (1, 652, 260), (2, 545, 196), (3, 585, 203), (4, 361, 200), (5, 466, 284), (6, 80, 279)]"
1,"['person:0.9973', 'person:0.9760', 'person:0.9636', 'person:0.9476', 'person:0.9429', 'person:0.5479']","[(0, 252, 279), (1, 652, 260), (2, 545, 196), (3, 585, 203), (5, 467, 286), (6, 80, 279)]"
1,"['person:0.9984', 'person:0.9979', 'person:0.9831', 'person:0.9780', 'person:0.9756', 'person:0.9031', 'person:0.6888', 'person:0.6594']","[(0, 244, 286), (1, 653, 261), (2, 535, 196), (3, 585, 203), (5, 452, 283), (6, 41, 277), (7, 343, 201), (8, 57, 139)]"
1,"['person:0.9920', 'person:0.9845', 'person:0.9831', 'person:0.9829', 'person:0.9776', 'person:0.9589', 'person:0.8201', 'person:0.7845']","[(0, 202, 292), (1, 653, 262), (2, 531, 196), (3, 584, 204), (5, 447, 289), (6, 36, 295), (7, 252, 163), (8, 43, 144)]"
1,"['person:0.9920', 'person:0.9919', 'person:0.9791', 'person:0.9789', 'person:0.9663', 'person:0.7690', 'person:0.7055', 'person:0.6525', 'person:0.6017', 'person:0.5179']","[(0, 188, 295), (1, 654, 278), (2, 528, 196), (3, 584, 202), (5, 411, 292), (6, 20, 300), (7, 230, 160), (8, 37, 123), (9, 552, 196), (10, 476, 200)]"
1,"['person:0.9946', 'person:0.9899', 'person:0.9807', 'person:0.9761', 'person:0.9692', 'person:0.9188', 'person:0.8329', 'person:0.8292', 'person:0.6885', 'person:0.6616']","[(0, 140, 295), (1, 652, 279), (2, 526, 196), (3, 581, 204), (5, 408, 292), (6, 301, 284), (7, 229, 204), (8, 30, 104), (9, 552, 195), (10, 470, 220)]"
1,"['person:0.9958', 'person:0.9943', 'person:0.9810', 'person:0.9617', 'person:0.9460', 'person:0.8377', 'person:0.8371', 'person:0.7505', 'person:0.7313']","[(0, 141, 294), (1, 651, 279), (2, 525, 196), (3, 580, 204), (5, 394, 291), (6, 285, 284), (7, 221, 220), (9, 552, 195), (10, 468, 239)]"
1,"['person:0.9941', 'person:0.9745', 'person:0.9599', 'person:0.9322', 'person:0.9176', 'person:0.9108', 'person:0.7560', 'person:0.6846', 'person:0.6307']","[(0, 125, 249), (1, 650, 279), (2, 522, 198), (3, 579, 204), (5, 361, 292), (6, 422, 184), (7, 205, 202), (9, 550, 196), (10, 469, 239)]"
1,"['person:0.9919', 'person:0.9878', 'person:0.9814', 'person:0.9483', 'person:0.8962', 'person:0.8920', 'person:0.6495', 'person:0.5045']","[(1, 628, 283), (2, 520, 199), (3, 578, 205), (5, 353, 294), (6, 415, 182), (7, 260, 162), (9, 551, 197), (10, 448, 199)]"
1,"['person:0.9920', 'person:0.9892', 'person:0.9804', 'person:0.9478', 'person:0.9012', 'person:0.8901', 'person:0.6135', 'skateboard:0.5111']","[(1, 628, 283), (2, 520, 198), (3, 579, 205), (5, 352, 294), (6, 416, 182), (7, 441, 413), (9, 551, 197), (10, 451, 183)]"
1,"['person:0.9882', 'person:0.9824', 'person:0.9393']","[(1, 611, 276), (2, 522, 199), (9, 554, 200)]"
1,['person:0.8262'],"[(9, 627, 200)]"
1,['person:0.7981'],"[(9, 664, 88)]"
1,['person:0.8034'],"[(9, 664, 88)]"
1,['no object:0.0000'],"[(9, 0, 0)]"
1,['no object:0.0000'],"[(9, 0, 0)]"
1,['no object:0.0000'],"[(9, 0, 0)]"
1,['no object:0.0000'],"[(9, 0, 0)]"
1,['no object:0.0000'],"[(9, 0, 0)]"
1,['no object:0.0000'],"[(9, 0, 0)]"
1,['person:0.9726'],"[(9, 132, 296)]"
1,['person:0.9793'],"[(9, 132, 293)]"
1,['person:0.9789'],"[(9, 131, 294)]"
1,"['person:0.9917', 'person:0.7998', 'person:0.7046']","[(9, 96, 293), (11, 522, 255), (12, 301, 203)]"
1,"['person:0.9978', 'person:0.9811', 'bicycle:0.9429', 'person:0.9336', 'person:0.7467', 'person:0.5463']","[(9, 91, 295), (11, 507, 251), (12, 305, 178), (13, 277, 262), (14, 658, 186), (15, 340, 316)]"
1,"['person:0.9977', 'person:0.9810', 'bicycle:0.9488', 'person:0.9390', 'person:0.7795', 'person:0.5808']","[(9, 90, 295), (11, 508, 251), (12, 305, 178), (13, 277, 263), (14, 658, 186), (15, 340, 317)]"
1,"['person:0.9989', 'bicycle:0.9529', 'person:0.9308', 'person:0.8250']","[(9, 73, 294), (11, 464, 252), (13, 264, 273), (14, 656, 221)]"
1,"['person:0.9971', 'bicycle:0.9314', 'person:0.8439']","[(9, 75, 290), (11, 452, 246), (13, 257, 277)]"
1,"['person:0.9974', 'person:0.8799', 'backpack:0.7300', 'person:0.6853']","[(9, 77, 293), (11, 402, 251), (13, 126, 280), (16, 636, 259)]"
1,"['person:0.9979', 'person:0.9767', 'person:0.9005', 'person:0.8373']","[(9, 67, 315), (11, 356, 248), (13, 557, 252), (16, 629, 260)]"
1,"['person:0.9981', 'person:0.9744', 'person:0.9687', 'person:0.9000', 'person:0.7601']","[(9, 62, 316), (11, 294, 246), (13, 526, 246), (16, 626, 262), (17, 685, 261)]"
1,"['person:0.9984', 'person:0.9687', 'person:0.9679', 'person:0.8912', 'person:0.7498']","[(9, 62, 316), (11, 291, 247), (13, 526, 246), (16, 626, 262), (17, 685, 261)]"
1,"['person:0.9961', 'person:0.9596', 'person:0.9126', 'person:0.9116']","[(11, 238, 256), (13, 513, 257), (16, 606, 259), (17, 681, 297)]"
1,"['person:0.9954', 'person:0.9654', 'person:0.9010', 'person:0.5258']","[(11, 228, 255), (13, 498, 255), (16, 600, 294), (17, 678, 296)]"
1,"['person:0.9958', 'person:0.9628', 'person:0.9069', 'person:0.5455']","[(11, 228, 254), (13, 498, 256), (16, 600, 294), (17, 678, 296)]"
1,"['person:0.9957', 'person:0.9572', 'person:0.9046', 'person:0.5696']","[(11, 228, 254), (13, 499, 255), (16, 600, 295), (17, 677, 296)]"
1,"['person:0.9963', 'person:0.9920', 'person:0.9886', 'person:0.9348', 'person:0.6159']","[(11, 297, 276), (13, 449, 276), (16, 560, 290), (17, 660, 301), (18, 131, 250)]"
1,"['person:0.9964', 'person:0.9919', 'person:0.9899', 'person:0.9439', 'person:0.6275']","[(11, 297, 276), (13, 450, 276), (16, 560, 290), (17, 660, 300), (18, 131, 249)]"
1,"['person:0.9981', 'person:0.9951', 'person:0.9894', 'person:0.9552', 'person:0.9517', 'person:0.9224', 'person:0.5500']","[(11, 283, 274), (13, 421, 279), (16, 557, 295), (17, 656, 299), (18, 133, 248), (19, 491, 180), (20, 343, 182)]"
1,"['person:0.9982', 'person:0.9940', 'person:0.9843', 'person:0.9719', 'person:0.9474', 'person:0.7947']","[(11, 246, 262), (13, 413, 279), (16, 554, 294), (17, 654, 298), (19, 488, 198), (20, 339, 198)]"
1,"['person:0.9966', 'person:0.9956', 'person:0.9265', 'person:0.8408', 'person:0.6098']","[(11, 195, 281), (13, 405, 278), (16, 547, 295), (17, 652, 295), (20, 38, 275)]"
1,"['person:0.9961', 'person:0.9960', 'person:0.9199', 'person:0.8113', 'person:0.5738']","[(11, 193, 281), (13, 405, 278), (16, 547, 295), (17, 652, 295), (20, 38, 275)]"
1,"['person:0.9956', 'person:0.9912', 'person:0.9899', 'person:0.9573', 'person:0.9445']","[(11, 180, 283), (13, 395, 281), (16, 527, 298), (17, 635, 282), (20, 45, 336)]"
1,"['person:0.9943', 'person:0.9902', 'person:0.9883', 'person:0.9121', 'person:0.8302', 'backpack:0.5986']","[(11, 177, 280), (13, 359, 276), (16, 523, 297), (17, 630, 288), (20, 33, 333), (21, 288, 394)]"
1,"['person:0.9954', 'person:0.9900', 'person:0.9674', 'person:0.9603', 'backpack:0.7774', 'person:0.6764', 'person:0.5348']","[(11, 133, 287), (13, 345, 277), (16, 504, 293), (17, 617, 284), (20, 22, 315), (21, 236, 400), (22, 551, 198)]"
1,"['person:0.9955', 'person:0.9889', 'person:0.9620', 'person:0.9619', 'backpack:0.7459', 'person:0.6993', 'person:0.5339']","[(11, 131, 288), (13, 345, 277), (16, 505, 293), (17, 617, 283), (20, 22, 315), (21, 237, 401), (22, 551, 198)]"
1,"['person:0.9897', 'person:0.9847', 'person:0.9775', 'person:0.9417', 'backpack:0.7963']","[(11, 123, 288), (13, 344, 278), (16, 495, 292), (17, 614, 286), (21, 225, 410)]"
1,"['person:0.9981', 'person:0.9921', 'person:0.8317', 'person:0.8014', 'person:0.5355', 'backpack:0.5330']","[(11, 124, 288), (13, 338, 282), (16, 491, 292), (17, 603, 276), (21, 200, 413), (23, 547, 198)]"
1,"['person:0.9902', 'person:0.9872', 'person:0.9542', 'person:0.9438', 'person:0.9042', 'person:0.8545']","[(11, 75, 278), (13, 296, 256), (16, 466, 289), (17, 611, 250), (21, 574, 241), (23, 530, 204)]"
1,"['person:0.9895', 'person:0.9874', 'person:0.9563', 'person:0.9528', 'person:0.8829', 'person:0.8615']","[(11, 72, 279), (13, 298, 256), (16, 466, 289), (17, 611, 249), (21, 575, 241), (23, 530, 203)]"
1,"['person:0.9942', 'person:0.9873', 'person:0.9299', 'person:0.9268', 'person:0.9197', 'person:0.7439']","[(11, 46, 276), (13, 252, 259), (16, 461, 294), (17, 603, 252), (21, 409, 204), (23, 527, 204)]"
1,"['person:0.9943', 'person:0.9890', 'person:0.9745', 'person:0.9388', 'person:0.8862', 'person:0.7100']","[(11, 74, 289), (13, 241, 258), (16, 449, 294), (17, 582, 255), (21, 407, 203), (23, 521, 204)]"
1,"['person:0.9975', 'person:0.9907', 'person:0.8419', 'person:0.8196', 'person:0.7902', 'person:0.6323']","[(11, 65, 293), (13, 239, 277), (16, 440, 293), (17, 580, 248), (21, 406, 203), (23, 519, 219)]"
1,"['person:0.9865', 'person:0.9714', 'person:0.9025', 'person:0.8224']","[(11, 60, 291), (16, 422, 285), (17, 559, 249), (23, 291, 253)]"
